1,0.819969,-0.0422097,0.266883
2,0,0,0
3,0,0,0
4,-6.90449e-07,-4.49087e-07,2.44124e-06
5,-3.15337e-06,5.82226e-06,3.75504e-05
6,-3.02565e-06,4.34173e-06,1.33296e-05
7,0,0,0
8,7.78417e-06,-7.14727e-06,-3.80261e-05
9,2.2401e-06,-5.32297e-07,-4.56964e-07
10,0,0,0
11,3.49993e-06,-1.62414e-06,-4.97895e-07
12,-1.62825e-05,2.63852e-05,1.35272e-05
13,0,0,0
14,-6.725e-06,1.40848e-05,-7.69532e-06
15,6.72801e-05,4.73385e-06,4.53682e-05
16,4.37e-05,2.3584e-05,-2.98021e-06
17,0,0,0
18,0,0,0
19,0.000122767,3.15628e-05,5.88789e-06
20,0,0,0
21,0,0,0
22,0.00218592,0.00114234,-0.000443604
23,0,0,0
24,0.00332539,0.00113057,-9.71458e-05
25,0,0,0
26,8.84883e-06,-0.000632874,-0.0014829
27,0.00687352,0.00162236,-0.000597963
28,0,0,0
29,0.00816533,0.00272991,-0.00250321
30,0,0,0
31,0,0,0
32,0.0129146,0.00302844,-0.00419902
33,0,0,0
34,0.0142275,0.00364355,-0.00175507
35,0,0,0
36,0.000458615,0.000392211,-0.00312046
37,0.0189233,0.00503903,-0.00288299
38,0,0,0
39,0.0219755,0.00574776,-0.00269949
40,-0.000579649,0.000597454,-0.00102798
41,0,0,0
42,0.0276398,0.00765534,-0.00314826
43,-0.000645533,-0.000397402,0.00160427
44,0,0,0
45,0.028349,0.00755355,-0.00229641
46,-0.000517505,-0.000170863,0.00212603
47,0.0315206,0.00823537,-0.00159427
48,0,0,0
49,0,0,0
50,0.0274782,0.0070504,0.00227044
51,0,0,0
52,0.0286995,0.00729273,-0.000478048
53,-0.000559073,0.000149001,0.00478429
54,0,0,0
55,0.0241598,0.00622105,0.00118968
56,0,0,0
57,0.0240106,0.00623315,0.00688634
58,0,0,0
59,0,0,0
60,0.0195587,0.00602233,0.00877657
61,0,0,0
62,0,0,0
63,0.019898,0.00560892,0.00448458
64,-0.000543663,0.000431837,0.00678796
65,0.0158907,0.00474868,0.00607069
66,0,0,0
67,0.000799663,0.000593756,0.00613499
68,0.0174436,0.00544007,0.00902376
69,0,0,0
70,0.0154922,0.00491795,0.00815599
71,-0.000923599,0.00133262,0.00761926
72,0,0,0
73,0.0147049,0.00561553,0.0102052
74,0.000371843,0.00062343,0.00912182
75,0.0164255,0.00674826,0.0138485
76,0,0,0
77,0,0,0
78,0.0159585,0.00769922,0.0262333
79,0,0,0
80,0,0,0
81,0.0171911,0.00879971,0.0317672
82,0,0,0
83,0.0172172,0.00806772,0.0189213
84,0,0,0
85,-0.000366776,0.000950357,0.0141472
86,0.0195851,0.0100365,0.0248429
87,0,0,0
88,0.0186642,0.0102995,0.0412447
89,0,0,0
90,0,0,0
91,0.0209742,0.0116357,0.0287113
92,-0.001031,0.000552189,0.0140271
93,0.018958,0.0115574,0.0306478
94,0,0,0
95,6.73536e-05,0.000730402,0.0103505
96,0.0219976,0.0142428,0.0387358
97,0,0,0
98,0.0172712,0.0122466,0.0312238
